Exported by,ExportComments.com,,,,,,,,
Source URL,"https://www.google.com/maps/search/schools+in+iceland/@64.1096787,-21.9320708,15919m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",,,,,,,,
Timezone,UTC,,,,,,,,
,,,,,,,,,
Some Products may not appear here because of their privacy settings,,,,,,,,,
,,,,,,,,,
,,Name,Address,City,State,Website,Location Lat,Location Lng,Tags
52,,Menntaskólinn við Sund,43,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.msund.is/,64.1310216,-21.8597492,junior_college
53,,Mánagarður,Eggertsgata 34 101,"Reykjavík, Iceland",Vesturbær,http://fs.is/,64.1348192,-21.9496142,kindergarten
55,,Reykjavík Junior College,Lækjargata 5 101,"Reykjavík, Iceland",Miðborg,http://www.mr.is/,64.1460669,-21.9368808,high_school
56,,Seljaskóli Elementary School,Kleifarsel 28,"Reykjavík, Iceland",Breiðholt,http://seljaskoli.is/,64.0953514,-21.8391147,elementary_school
57,,Snælandsskóli,Víðigrund 55,"Kópavogur, Iceland",Digranes,,64.1157446,-21.8781616,school
58,,The Reykjavik School of Visual Arts,Rauðarárstígur 10,"Reykjavík, Iceland",Hlíðar,http://mir.is/,64.1425751,-21.9141611,school
59,,Tjarnarskóli ehf,"14b,","Reykjavík, Iceland",Miðborg,http://www.tjarnarskoli.is/,64.1455589,-21.9394904,elementary_school
60,,Tónlistarskóli F.Í.H.,Rauðagerði 27,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://tonlistarskolifih.is/,64.1255307,-21.8572759,music_school
61,,Austurbæjarskóli,101 Reykjavík,"Reykjavík, Iceland",Miðborg,,64.1417805,-21.9228192,elementary_school
62,,Breiðholtsskóli,Arnarbakki 1 - 3,"Reykjavík, Iceland",Breiðholt,https://www.breidholtsskoli.is/,64.1072591,-21.8352514,school
63,,Flugskóli Íslands,2nd floor,"Reykjavík, Iceland",Háaleiti og Bústaðir,http://www.flugskoliislands.is/is,64.135265,-21.8453612,"flight_school
aviation_training_institute"
64,,Foldaskóli,Logafold 1,"Reykjavík, Iceland",Grafarvogur,,64.1341758,-21.7939307,primary_school
65,,Hólabrekkuskóli,454J+XP4,"Reykjavík, Iceland",Breiðholt,https://holabrekkuskoli.is/,64.1073763,-21.818161,school
66,,Iceland University of the Arts,Laugarnesvegur 91,"Reykjavík, Iceland",Laugardalur,http://lhi.is/,64.1509312,-21.8846831,art_school
68,,Laufásborg,Bergstaðastræti 58 101,"Reykjavík, Iceland",Miðborg,http://laufasborg.hjalli.is/,64.1409865,-21.9350359,school
69,,Laugarnesskóli,"24 105,","Reykjavík, Iceland",Laugardalur,http://www.laugarnesskoli.is/,64.144843,-21.884109,school
70,,Melaskóli,42VV+52P,"Reykjavík, Iceland",Vesturbær,http://www.melaskoli.is/,64.1429689,-21.9574146,elementary_school
71,,"Mímir, símenntun",Höfðabakki 9,"Reykjavík, Iceland",Grafarvogur,http://mimir.is/,64.125328,-21.8081454,school
73,,Reykjavík Technical College,Engihlíð 7,"Reykjavík, Iceland",Hlíðar,,64.1347102,-21.9171589,
74,,Selásskóli,4648+75X,"Reykjavík, Iceland",Árbær,https://selasskoli.is/,64.1057462,-21.7845047,school
75,,The Icelandic Health Science Institute,Vatnsmýrarvegur 16,"Reykjavík, Iceland",Miðborg,https://healthsciences.hi.is/,64.1365089,-21.929209,university
76,,The compulsory school of Nordlingaholt,Árvað 3,"Reykjavík, Iceland",Árbær,http://www.nordlingaskoli.is/,64.1010451,-21.7725439,school
78,,Vesturbær Elementary School,Sólvallagata 67,"Reykjavík, Iceland",Vesturbær,https://www.vesturbaejarskoli.is/,64.1497755,-21.9576473,school
79,,Víðistaðaskóli,Hrauntunga 7,"Hafnarfjörður, Iceland",,http://www.vidistadaskoli.is/,64.0755363,-21.9567705,elementary_school
80,,Waldorfskólinn Sólstafir,Sóltún 6,"Reykjavík, Iceland",Laugardalur,http://www.waldorf.is/,64.1432622,-21.8970344,"school
waldorf_school"
