ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,2204,1,0-4 ára,48
2023,1902,2,0-4 ára,30
2023,1403,2,0-4 ára,48
2023,2405,2,0-4 ára,82
2023,103,2,0-4 ára,37
2023,3006,2,0-4 ára,41
2023,2804,1,0-4 ára,86
2023,2203,2,0-4 ára,67
2023,2704,2,0-4 ára,49
2023,3502,1,0-4 ára,61
2023,401,2,0-4 ára,61
2023,1503,2,0-4 ára,80
2023,2904,2,0-4 ára,92
2023,1201,1,0-4 ára,41
2023,501,2,0-4 ára,35
2023,708,1,0-4 ára,63
2023,3601,2,0-4 ára,58
2023,2105,1,0-4 ára,52
2023,1305,2,0-4 ára,15
2023,1501,1,0-4 ára,61
2023,504,1,0-4 ára,46
2023,1804,2,0-4 ára,25
2023,3301,1,0-4 ára,54
2023,401,1,0-4 ára,79
2023,1503,1,0-4 ára,68
2023,2204,2,0-4 ára,56
2023,701,1,0-4 ára,95
2023,3703,1,0-4 ára,33
2023,207,2,0-4 ára,34
2023,3403,1,0-4 ára,97
2023,805,1,0-4 ára,44
2023,2407,2,0-4 ára,54
2023,1006,1,0-4 ára,55
2023,303,1,0-4 ára,39
2023,208,2,0-4 ára,49
2023,3204,1,0-4 ára,62
2023,1004,2,0-4 ára,80
2023,3704,2,0-4 ára,27
2023,708,2,0-4 ára,65
2023,807,2,0-4 ára,42
2023,2007,2,0-4 ára,43
2023,1603,2,0-4 ára,64
2023,2407,1,0-4 ára,58
2023,1601,2,0-4 ára,41
2023,3704,1,0-4 ára,17
2023,1703,2,0-4 ára,41
2023,3402,2,0-4 ára,21
2023,1104,1,0-4 ára,41
2023,4103,2,0-4 ára,32
2023,304,2,0-4 ára,44
2023,2008,2,0-4 ára,18
2023,2005,2,0-4 ára,61
2023,3302,1,0-4 ára,43
2023,3002,2,0-4 ára,63
2023,404,2,0-4 ára,70
2023,901,1,0-4 ára,73
2023,705,2,0-4 ára,70
2023,1103,1,0-4 ára,53
2023,3101,2,0-4 ára,49
2023,1704,2,0-4 ára,54
2023,702,1,0-4 ára,39
2023,1601,1,0-4 ára,42
2023,402,1,0-4 ára,93
2023,603,1,0-4 ára,35
2023,1104,2,0-4 ára,61
2023,2503,1,0-4 ára,63
2023,404,1,0-4 ára,78
2023,2701,1,0-4 ára,49
2023,806,1,0-4 ára,44
2023,202,1,0-4 ára,65
2023,601,1,0-4 ára,69
2023,102,2,0-4 ára,34
2023,705,1,0-4 ára,71
