ar,smasvaedi,aldursflokkur,fjoldi,fjoldi_total
2024,704,35-39 ára,76,2116
2024,704,80-84 ára,16,2130
2023,704,10-14 ára,77,2116
2023,704,40-44 ára,57,2130
2024,704,45-49 ára,66,2130
2024,704,30-34 ára,88,2116
2024,704,20-24 ára,70,2116
2024,704,25-29 ára,74,2130
2023,704,5-9 ára,59,2130
2023,704,0-4 ára,53,2130
2023,704,80-84 ára,16,2130
2024,704,50-54 ára,64,2130
2023,704,65-69 ára,57,2116
2023,704,90 ára og eldri,9,2116
2023,704,35-39 ára,80,2116
2023,704,5-9 ára,72,2116
2023,704,85-89 ára,27,2130
2023,704,45-49 ára,54,2116
2024,704,55-59 ára,60,2130
2023,704,15-19 ára,68,2116
2024,704,75-79 ára,39,2130
2023,704,45-49 ára,66,2130
2023,704,70-74 ára,50,2116
2023,704,40-44 ára,70,2116
2024,704,65-69 ára,64,2130
2024,704,30-34 ára,73,2130
2024,704,85-89 ára,23,2130
2024,704,90 ára og eldri,9,2116
2024,704,0-4 ára,47,2130
2024,704,40-44 ára,75,2130
2024,704,0-4 ára,61,2116
2024,704,5-9 ára,57,2130
2023,704,35-39 ára,80,2130
2024,704,5-9 ára,71,2116
2023,704,90 ára og eldri,21,2130
2024,704,90 ára og eldri,15,2130
2024,704,40-44 ára,83,2116
2024,704,60-64 ára,44,2116
2023,704,80-84 ára,11,2116
2024,704,80-84 ára,15,2116
2024,704,70-74 ára,45,2130
2023,704,25-29 ára,76,2116
2024,704,60-64 ára,64,2130
2023,704,60-64 ára,44,2116
2024,704,10-14 ára,77,2116
2023,704,50-54 ára,60,2116
2024,704,15-19 ára,72,2116
2024,704,10-14 ára,57,2130
2023,704,30-34 ára,81,2116
2023,704,65-69 ára,69,2130
2024,704,35-39 ára,76,2130
2024,704,20-24 ára,69,2130
2024,704,15-19 ára,76,2130
2024,704,50-54 ára,55,2116
2024,704,70-74 ára,55,2116
2023,704,20-24 ára,72,2116
2023,704,0-4 ára,70,2116
2023,704,25-29 ára,83,2130
2023,704,60-64 ára,59,2130
2024,704,25-29 ára,82,2116
2023,704,10-14 ára,60,2130
2023,704,50-54 ára,60,2130
2024,705,50-54 ára,66,2004
2023,705,40-44 ára,78,2004
2024,705,0-4 ára,54,1966
2024,705,20-24 ára,54,1966
2024,705,45-49 ára,62,1966
2023,705,75-79 ára,20,1966
2024,705,5-9 ára,74,2004
2023,705,35-39 ára,76,1966
2024,705,70-74 ára,33,2004
2023,705,15-19 ára,63,2004
2024,705,75-79 ára,21,1966
2023,705,55-59 ára,59,2004
2023,705,90 ára og eldri,3,2004
2023,705,5-9 ára,77,2004
2023,705,60-64 ára,52,1966
2024,705,30-34 ára,68,2004
2023,705,15-19 ára,73,1966
2023,705,0-4 ára,71,2004
2023,705,80-84 ára,21,2004
2024,705,80-84 ára,16,2004
2023,705,10-14 ára,75,2004
2023,705,50-54 ára,54,1966
2024,705,55-59 ára,48,2004
2023,705,10-14 ára,78,1966
2023,705,75-79 ára,18,2004
2023,705,50-54 ára,57,2004
2023,705,45-49 ára,69,2004
2024,705,35-39 ára,61,2004
2023,705,30-34 ára,63,1966
2023,705,20-24 ára,55,1966
2023,705,35-39 ára,64,2004
2023,705,70-74 ára,32,2004
2024,705,5-9 ára,64,1966
2024,705,15-19 ára,70,2004
2024,705,40-44 ára,81,1966
2023,705,80-84 ára,27,1966
2024,705,75-79 ára,18,2004
2023,705,85-89 ára,8,2004
2023,705,40-44 ára,71,1966
2024,705,35-39 ára,64,1966
2023,705,0-4 ára,70,1966
2024,705,10-14 ára,83,1966
2023,705,55-59 ára,71,1966
2024,705,65-69 ára,35,2004
2024,705,65-69 ára,44,1966
2024,705,25-29 ára,59,2004
2024,705,25-29 ára,58,1966
2023,705,70-74 ára,39,1966
2023,705,85-89 ára,12,1966
2023,705,65-69 ára,41,1966
2023,705,25-29 ára,61,2004
2023,705,65-69 ára,37,2004
2024,705,70-74 ára,36,1966
2024,705,45-49 ára,66,2004
2024,705,60-64 ára,65,2004
2023,705,30-34 ára,71,2004
2024,705,90 ára og eldri,5,1966
2023,705,60-64 ára,56,2004
2024,705,10-14 ára,82,2004
2023,705,25-29 ára,55,1966
2024,705,55-59 ára,68,1966
2024,705,90 ára og eldri,2,2004
2024,705,40-44 ára,79,2004
2024,705,80-84 ára,27,1966
2023,705,5-9 ára,73,1966
2024,705,20-24 ára,78,2004
2024,705,85-89 ára,14,2004
2024,705,15-19 ára,67,1966
2024,705,60-64 ára,58,1966
2023,705,45-49 ára,56,1966
2024,705,0-4 ára,71,2004
2024,705,85-89 ára,15,1966
2023,705,20-24 ára,79,2004
2024,705,50-54 ára,51,1966
2023,705,90 ára og eldri,6,1966
2024,705,30-34 ára,62,1966
2024,706,5-9 ára,66,2644
2023,706,25-29 ára,91,2644
2023,706,40-44 ára,99,2844
2023,706,60-64 ára,62,2644
2024,706,35-39 ára,98,2844
2024,706,15-19 ára,88,2644
2024,706,30-34 ára,97,2644
2024,706,60-64 ára,65,2644
2023,706,55-59 ára,96,2644
2023,706,75-79 ára,32,2844
2023,706,70-74 ára,42,2644
2023,706,5-9 ára,75,2644
2023,706,90 ára og eldri,6,2644
2024,706,15-19 ára,112,2844
2023,706,25-29 ára,103,2844
2024,706,35-39 ára,105,2644
2023,706,5-9 ára,64,2844
2023,706,45-49 ára,107,2644
2023,706,75-79 ára,24,2644
2024,706,50-54 ára,102,2844
2024,706,45-49 ára,104,2844
2024,706,50-54 ára,88,2644
2023,706,50-54 ára,102,2844
2023,706,15-19 ára,109,2844
2023,706,65-69 ára,43,2844
2024,706,75-79 ára,26,2644
2024,706,85-89 ára,3,2844
2024,706,25-29 ára,89,2644
2023,706,10-14 ára,95,2844
2024,706,10-14 ára,96,2644
2024,706,45-49 ára,106,2644
2024,706,60-64 ára,83,2844
2023,706,20-24 ára,100,2844
2024,706,10-14 ára,101,2844
2024,706,75-79 ára,26,2844
2023,706,80-84 ára,11,2844
2023,706,85-89 ára,3,2844
2024,706,0-4 ára,73,2644
2023,706,85-89 ára,10,2644
2024,706,55-59 ára,84,2844
2024,706,0-4 ára,101,2844
2024,706,25-29 ára,107,2844
2023,706,15-19 ára,90,2644
2024,706,80-84 ára,16,2644
2023,706,20-24 ára,96,2644
2024,706,80-84 ára,14,2844
2024,706,5-9 ára,68,2844
2023,706,40-44 ára,96,2644
2024,706,70-74 ára,53,2844
2024,706,65-69 ára,50,2844
2023,706,35-39 ára,101,2644
2023,706,60-64 ára,77,2844
2024,706,90 ára og eldri,6,2844
2023,706,45-49 ára,102,2844
2024,706,70-74 ára,39,2644
2024,706,90 ára og eldri,6,2644
2024,706,40-44 ára,101,2644
2023,706,30-34 ára,108,2844
2023,706,35-39 ára,99,2844
2023,706,90 ára og eldri,8,2844
2023,706,30-34 ára,100,2644
2023,706,0-4 ára,100,2844
2024,706,65-69 ára,69,2644
2023,706,65-69 ára,67,2644
2024,706,20-24 ára,104,2844
2024,706,20-24 ára,95,2644
2024,706,85-89 ára,9,2644
2023,706,10-14 ára,84,2644
2024,706,30-34 ára,117,2844
2023,706,50-54 ára,83,2644
2023,706,80-84 ára,14,2644
2023,706,55-59 ára,83,2844
2024,706,40-44 ára,117,2844
2024,706,55-59 ára,100,2644
2023,706,0-4 ára,66,2644
2023,706,70-74 ára,56,2844
2024,707,65-69 ára,23,1337
2024,707,60-64 ára,33,1337
2023,707,60-64 ára,30,1337
2023,707,15-19 ára,30,1337
2024,707,80-84 ára,2,1337
2024,707,90 ára og eldri,5,1337
2024,707,25-29 ára,60,1337
2023,707,20-24 ára,52,1337
2023,707,35-39 ára,48,1330
2023,707,40-44 ára,50,1330
2023,707,60-64 ára,36,1330
2024,707,55-59 ára,30,1337
2023,707,65-69 ára,24,1337
2023,707,55-59 ára,31,1337
2023,707,70-74 ára,14,1337
2023,707,30-34 ára,82,1337
2023,707,40-44 ára,48,1337
2023,707,55-59 ára,29,1330
2023,707,5-9 ára,35,1337
2024,707,0-4 ára,60,1330
2024,707,30-34 ára,74,1337
2024,707,90 ára og eldri,6,1330
2023,707,70-74 ára,18,1330
2023,707,75-79 ára,7,1330
2023,707,45-49 ára,38,1330
2024,707,5-9 ára,44,1330
2024,707,15-19 ára,36,1337
2024,707,25-29 ára,61,1330
2023,707,25-29 ára,53,1330
2024,707,0-4 ára,56,1337
2024,707,50-54 ára,33,1337
2024,707,40-44 ára,51,1330
2024,707,15-19 ára,41,1330
2023,707,10-14 ára,43,1337
2023,707,50-54 ára,39,1337
2024,707,10-14 ára,43,1330
2023,707,30-34 ára,79,1330
2023,707,20-24 ára,33,1330
2024,707,60-64 ára,36,1330
2024,707,70-74 ára,15,1337
2024,707,85-89 ára,8,1330
2024,707,55-59 ára,32,1330
2024,707,75-79 ára,14,1337
2023,707,85-89 ára,7,1337
2023,707,50-54 ára,37,1330
2024,707,70-74 ára,16,1330
2024,707,80-84 ára,11,1330
2024,707,20-24 ára,41,1337
2023,707,45-49 ára,44,1337
2023,707,0-4 ára,50,1330
2024,707,30-34 ára,79,1330
2023,707,0-4 ára,53,1337
2023,707,25-29 ára,57,1337
2023,707,90 ára og eldri,6,1337
2024,707,40-44 ára,46,1337
2023,707,75-79 ára,10,1337
2024,707,85-89 ára,8,1337
2024,707,35-39 ára,52,1330
2024,707,10-14 ára,39,1337
2023,707,85-89 ára,10,1330
2024,707,20-24 ára,41,1330
2023,707,15-19 ára,37,1330
2024,707,65-69 ára,21,1330
2024,707,45-49 ára,42,1330
2024,707,5-9 ára,46,1337
2023,707,90 ára og eldri,5,1330
2023,707,65-69 ára,21,1330
2023,707,80-84 ára,4,1337
2023,707,5-9 ára,37,1330
2024,707,45-49 ára,43,1337
2024,707,35-39 ára,69,1337
2023,707,35-39 ára,55,1337
2024,707,75-79 ára,10,1330
2023,707,80-84 ára,11,1330
2023,707,10-14 ára,39,1330
2024,707,50-54 ára,38,1330
2023,708,25-29 ára,81,1958
2024,708,30-34 ára,123,2120
2024,708,40-44 ára,82,2120
2023,708,85-89 ára,11,1958
2024,708,90 ára og eldri,5,2120
2023,708,5-9 ára,57,1958
2024,708,55-59 ára,49,1958
2023,708,60-64 ára,50,2120
2024,708,65-69 ára,42,2120
2024,708,15-19 ára,60,2120
2023,708,70-74 ára,24,1958
2024,708,85-89 ára,11,1958
2023,708,35-39 ára,83,2120
2024,708,60-64 ára,55,1958
2023,708,90 ára og eldri,5,2120
2023,708,65-69 ára,37,2120
2024,708,75-79 ára,32,2120
2024,708,5-9 ára,66,1958
2023,708,70-74 ára,29,2120
2024,708,35-39 ára,114,2120
2024,708,20-24 ára,63,1958
2024,708,55-59 ára,61,2120
2023,708,0-4 ára,65,1958
2023,708,55-59 ára,57,1958
2023,708,65-69 ára,44,1958
2024,708,70-74 ára,26,1958
2023,708,90 ára og eldri,7,1958
2023,708,50-54 ára,63,1958
2023,708,40-44 ára,61,1958
2023,708,10-14 ára,55,1958
2023,708,75-79 ára,25,2120
2023,708,45-49 ára,69,1958
2023,708,15-19 ára,62,2120
2024,708,5-9 ára,63,2120
2023,708,10-14 ára,69,2120
2024,708,15-19 ára,54,1958
2023,708,40-44 ára,70,2120
2023,708,25-29 ára,91,2120
2023,708,85-89 ára,8,2120
2024,708,10-14 ára,70,2120
2023,708,80-84 ára,6,2120
2024,708,10-14 ára,48,1958
2024,708,50-54 ára,64,2120
2024,708,45-49 ára,67,1958
2024,708,70-74 ára,24,2120
2023,708,55-59 ára,49,2120
2023,708,60-64 ára,51,1958
2024,708,85-89 ára,7,2120
2023,708,0-4 ára,63,2120
2024,708,75-79 ára,21,1958
2023,708,35-39 ára,75,1958
2024,708,25-29 ára,76,1958
2023,708,80-84 ára,14,1958
2024,708,65-69 ára,49,1958
2023,708,30-34 ára,124,2120
2023,708,20-24 ára,78,2120
2024,708,0-4 ára,64,1958
2024,708,35-39 ára,77,1958
2024,708,90 ára og eldri,5,1958
2023,708,50-54 ára,54,2120
2023,708,30-34 ára,93,1958
2023,708,5-9 ára,60,2120
2024,708,80-84 ára,6,2120
2024,708,25-29 ára,99,2120
2024,708,45-49 ára,56,2120
2024,708,50-54 ára,67,1958
2023,708,15-19 ára,56,1958
2023,708,20-24 ára,63,1958
2024,708,80-84 ára,13,1958
2023,708,45-49 ára,51,2120
2024,708,40-44 ára,63,1958
2024,708,0-4 ára,78,2120
2024,708,60-64 ára,49,2120
2024,708,20-24 ára,71,2120
2024,708,30-34 ára,120,1958
2023,708,75-79 ára,18,1958
2023,801,55-59 ára,65,1902
2024,801,30-34 ára,56,1671
2023,801,10-14 ára,49,1671
2023,801,25-29 ára,79,1671
2023,801,75-79 ára,14,1902
2024,801,0-4 ára,37,1671
2024,801,10-14 ára,50,1671
2023,801,0-4 ára,44,1671
2023,801,25-29 ára,94,1902
2024,801,5-9 ára,42,1671
2023,801,15-19 ára,49,1902
2023,801,40-44 ára,47,1671
2023,801,70-74 ára,29,1902
2024,801,90 ára og eldri,1,1671
2024,801,35-39 ára,69,1671
2024,801,0-4 ára,36,1902
2023,801,5-9 ára,34,1671
2024,801,60-64 ára,59,1671
2024,801,90 ára og eldri,2,1902
2024,801,75-79 ára,20,1902
2023,801,60-64 ára,53,1902
2024,801,65-69 ára,42,1902
2024,801,55-59 ára,58,1902
2024,801,55-59 ára,65,1671
2023,801,50-54 ára,57,1902
2023,801,80-84 ára,15,1902
2024,801,45-49 ára,53,1671
2024,801,50-54 ára,61,1902
2024,801,25-29 ára,77,1671
2023,801,20-24 ára,61,1902
2024,801,85-89 ára,4,1671
2023,801,15-19 ára,43,1671
2023,801,35-39 ára,90,1902
2024,801,5-9 ára,38,1902
2024,801,70-74 ára,32,1902
2023,801,30-34 ára,54,1671
2023,801,55-59 ára,63,1671
2023,801,60-64 ára,52,1671
2024,801,75-79 ára,24,1671
2023,801,5-9 ára,41,1902
2023,801,35-39 ára,65,1671
2023,801,30-34 ára,87,1902
2024,801,15-19 ára,56,1902
2024,801,45-49 ára,67,1902
2024,801,40-44 ára,86,1902
2023,801,45-49 ára,57,1671
2023,801,50-54 ára,63,1671
2023,801,20-24 ára,66,1671
2023,801,90 ára og eldri,3,1902
2024,801,70-74 ára,25,1671
2023,801,75-79 ára,27,1671
2023,801,80-84 ára,21,1671
2023,801,45-49 ára,59,1902
2024,801,15-19 ára,52,1671
2024,801,40-44 ára,62,1671
2024,801,30-34 ára,89,1902
2023,801,85-89 ára,4,1671
2024,801,25-29 ára,94,1902
2023,801,65-69 ára,45,1902
2024,801,80-84 ára,13,1902
2024,801,20-24 ára,62,1671
2023,801,40-44 ára,94,1902
2023,801,0-4 ára,34,1902
2024,801,80-84 ára,21,1671
2023,801,65-69 ára,33,1671
2024,801,10-14 ára,47,1902
2023,801,90 ára og eldri,1,1671
2024,801,65-69 ára,32,1671
2024,801,85-89 ára,9,1902
2023,801,10-14 ára,41,1902
2024,801,50-54 ára,54,1671
2023,801,70-74 ára,24,1671
2024,801,35-39 ára,93,1902
2024,801,20-24 ára,61,1902
2023,801,85-89 ára,10,1902
2024,801,60-64 ára,57,1902
2024,802,45-49 ára,50,1297
2024,802,30-34 ára,44,1207
2023,802,25-29 ára,50,1207
2023,802,20-24 ára,39,1297
2024,802,25-29 ára,61,1297
2023,802,75-79 ára,14,1297
2024,802,80-84 ára,8,1297
2023,802,60-64 ára,35,1297
2023,802,85-89 ára,6,1207
2024,802,30-34 ára,53,1297
2024,802,5-9 ára,35,1297
2023,802,55-59 ára,44,1297
2024,802,50-54 ára,36,1207
2023,802,50-54 ára,35,1207
2023,802,65-69 ára,35,1207
2023,802,40-44 ára,41,1207
2023,802,15-19 ára,42,1297
2024,802,45-49 ára,39,1207
2023,802,75-79 ára,16,1207
2024,802,90 ára og eldri,2,1297
2024,802,55-59 ára,38,1297
2024,802,70-74 ára,20,1297
2024,802,70-74 ára,24,1207
2024,802,50-54 ára,42,1297
2023,802,80-84 ára,19,1207
2023,802,20-24 ára,41,1207
2023,802,45-49 ára,46,1297
2024,802,80-84 ára,18,1207
2024,802,15-19 ára,50,1297
2024,802,10-14 ára,37,1297
2023,802,0-4 ára,29,1207
2024,802,85-89 ára,4,1297
2023,802,0-4 ára,34,1297
2024,802,55-59 ára,38,1207
2024,802,35-39 ára,61,1207
2024,802,40-44 ára,39,1297
2023,802,90 ára og eldri,3,1207
2024,802,85-89 ára,7,1207
2023,802,90 ára og eldri,1,1297
2024,802,35-39 ára,64,1297
2023,802,30-34 ára,46,1207
2024,802,20-24 ára,39,1207
2024,802,0-4 ára,37,1297
2023,802,30-34 ára,51,1297
2023,802,80-84 ára,7,1297
2023,802,70-74 ára,18,1297
2024,802,75-79 ára,14,1207
2023,802,55-59 ára,36,1207
2023,802,40-44 ára,43,1297
2024,802,60-64 ára,41,1297
2024,802,5-9 ára,26,1207
2024,802,75-79 ára,12,1297
2024,802,20-24 ára,37,1297
2023,802,15-19 ára,29,1207
2023,802,35-39 ára,52,1207
2023,802,25-29 ára,63,1297
2024,802,65-69 ára,26,1297
2023,802,70-74 ára,20,1207
2024,802,60-64 ára,33,1207
2024,802,25-29 ára,48,1207
2024,802,10-14 ára,42,1207
2023,802,10-14 ára,41,1297
2023,802,45-49 ára,38,1207
2024,802,90 ára og eldri,4,1207
2024,802,15-19 ára,31,1207
2023,802,60-64 ára,34,1207
2023,802,10-14 ára,41,1207
2023,802,85-89 ára,6,1297
2023,802,65-69 ára,21,1297
2023,802,5-9 ára,27,1207
2024,802,40-44 ára,40,1207
2023,802,5-9 ára,38,1297
2024,802,0-4 ára,27,1207
2023,802,50-54 ára,40,1297
2023,802,35-39 ára,58,1297
2024,802,65-69 ára,38,1207
2023,803,50-54 ára,68,2453
2024,803,25-29 ára,98,2202
2023,803,60-64 ára,49,2202
2023,803,30-34 ára,129,2453
2024,803,55-59 ára,69,2453
2024,803,30-34 ára,92,2202
2023,803,80-84 ára,17,2202
2023,803,80-84 ára,17,2453
2024,803,65-69 ára,45,2202
2023,803,35-39 ára,93,2202
2023,803,0-4 ára,74,2202
2024,803,35-39 ára,99,2453
2023,803,75-79 ára,24,2453
2023,803,5-9 ára,83,2453
2024,803,20-24 ára,75,2453
2023,803,40-44 ára,92,2202
2023,803,25-29 ára,104,2453
2024,803,50-54 ára,63,2202
2024,803,70-74 ára,23,2453
2024,803,15-19 ára,85,2453
2024,803,35-39 ára,89,2202
2024,803,60-64 ára,47,2453
2024,803,10-14 ára,68,2202
2023,803,50-54 ára,70,2202
2024,803,40-44 ára,93,2202
2024,803,60-64 ára,56,2202
2023,803,60-64 ára,53,2453
2024,803,5-9 ára,80,2453
2023,803,25-29 ára,118,2202
2023,803,20-24 ára,60,2453
2023,803,15-19 ára,64,2202
2023,803,40-44 ára,103,2453
2024,803,55-59 ára,61,2202
2024,803,40-44 ára,118,2453
2023,803,0-4 ára,82,2453
2024,803,0-4 ára,64,2453
2024,803,15-19 ára,74,2202
2023,803,70-74 ára,28,2453
2024,803,90 ára og eldri,3,2202
2023,803,15-19 ára,70,2453
2024,803,85-89 ára,2,2202
2023,803,10-14 ára,74,2202
2024,803,20-24 ára,74,2202
2024,803,50-54 ára,66,2453
2023,803,70-74 ára,36,2202
2023,803,65-69 ára,47,2202
2023,803,55-59 ára,57,2202
2024,803,0-4 ára,74,2202
2024,803,65-69 ára,46,2453
2023,803,90 ára og eldri,2,2202
2024,803,30-34 ára,126,2453
2023,803,85-89 ára,6,2453
2023,803,35-39 ára,112,2453
2024,803,80-84 ára,21,2202
2023,803,65-69 ára,39,2453
2024,803,45-49 ára,69,2202
2024,803,5-9 ára,53,2202
2023,803,10-14 ára,92,2453
2024,803,75-79 ára,26,2453
2024,803,80-84 ára,19,2453
2023,803,30-34 ára,97,2202
2024,803,25-29 ára,108,2453
2023,803,20-24 ára,64,2202
2023,803,75-79 ára,24,2202
2023,803,5-9 ára,65,2202
2023,803,90 ára og eldri,2,2453
2024,803,90 ára og eldri,3,2453
2023,803,55-59 ára,60,2453
2024,803,70-74 ára,33,2202
2023,803,45-49 ára,92,2453
2024,803,45-49 ára,89,2453
2024,803,10-14 ára,80,2453
2023,803,45-49 ára,65,2202
2024,803,75-79 ára,24,2202
2024,803,85-89 ára,6,2453
2023,803,85-89 ára,2,2202
2023,804,80-84 ára,16,2651
2023,804,50-54 ára,79,2821
2024,804,80-84 ára,11,2821
2023,804,70-74 ára,36,2821
2024,804,30-34 ára,129,2821
2024,804,20-24 ára,86,2821
2024,804,15-19 ára,85,2651
2023,804,55-59 ára,88,2651
2023,804,90 ára og eldri,6,2821
2023,804,30-34 ára,136,2821
2023,804,25-29 ára,160,2821
2024,804,30-34 ára,128,2651
2023,804,55-59 ára,60,2821
2024,804,20-24 ára,97,2651
2023,804,65-69 ára,44,2821
2023,804,20-24 ára,103,2821
2024,804,85-89 ára,12,2651
2023,804,50-54 ára,79,2651
2024,804,40-44 ára,119,2651
2024,804,5-9 ára,93,2821
2023,804,45-49 ára,109,2821
2024,804,0-4 ára,86,2651
2024,804,45-49 ára,117,2821
2024,804,50-54 ára,93,2651
2024,804,60-64 ára,65,2651
2024,804,80-84 ára,20,2651
2023,804,80-84 ára,13,2821
2024,804,40-44 ára,105,2821
2024,804,75-79 ára,31,2651
2024,804,70-74 ára,35,2651
2024,804,75-79 ára,28,2821
2023,804,30-34 ára,125,2651
2023,804,65-69 ára,43,2651
2023,804,25-29 ára,99,2651
2024,804,45-49 ára,73,2651
2024,804,50-54 ára,83,2821
2023,804,60-64 ára,75,2821
2024,804,15-19 ára,86,2821
2024,804,65-69 ára,48,2651
2023,804,10-14 ára,89,2821
2023,804,0-4 ára,74,2651
2023,804,35-39 ára,116,2821
2023,804,0-4 ára,69,2821
2023,804,45-49 ára,73,2651
2023,804,75-79 ára,23,2821
2024,804,10-14 ára,90,2651
2023,804,20-24 ára,89,2651
2024,804,65-69 ára,50,2821
2024,804,70-74 ára,37,2821
2024,804,35-39 ára,109,2651
2023,804,40-44 ára,117,2821
2024,804,90 ára og eldri,6,2821
2023,804,5-9 ára,72,2651
2024,804,35-39 ára,141,2821
2023,804,90 ára og eldri,12,2651
2023,804,85-89 ára,7,2821
2024,804,55-59 ára,61,2821
2024,804,5-9 ára,67,2651
2023,804,60-64 ára,61,2651
2023,804,85-89 ára,13,2651
2024,804,60-64 ára,65,2821
2023,804,5-9 ára,89,2821
2024,804,25-29 ára,153,2821
2023,804,15-19 ára,78,2821
2024,804,25-29 ára,104,2651
2024,804,0-4 ára,66,2821
2023,804,10-14 ára,85,2651
2024,804,90 ára og eldri,9,2651
2024,804,55-59 ára,77,2651
2023,804,15-19 ára,84,2651
2023,804,40-44 ára,109,2651
2023,804,75-79 ára,38,2651
2023,804,35-39 ára,103,2651
2023,804,70-74 ára,40,2651
2024,804,85-89 ára,4,2821
2024,804,10-14 ára,91,2821
2024,805,30-34 ára,59,1477
2023,805,60-64 ára,42,1471
2024,805,85-89 ára,13,1471
2024,805,90 ára og eldri,5,1477
2024,805,85-89 ára,5,1477
2024,805,10-14 ára,37,1477
2023,805,85-89 ára,10,1471
2023,805,80-84 ára,9,1477
2023,805,35-39 ára,47,1471
2024,805,55-59 ára,34,1477
2024,805,70-74 ára,37,1477
2024,805,20-24 ára,56,1471
2023,805,75-79 ára,18,1477
2023,805,25-29 ára,63,1477
2023,805,25-29 ára,69,1471
2024,805,50-54 ára,58,1477
2024,805,70-74 ára,33,1471
2023,805,90 ára og eldri,6,1471
2024,805,55-59 ára,46,1471
2024,805,60-64 ára,38,1471
2024,805,25-29 ára,70,1471
2023,805,85-89 ára,6,1477
2023,805,45-49 ára,59,1477
2023,805,0-4 ára,44,1477
2024,805,60-64 ára,46,1477
2024,805,40-44 ára,52,1477
2023,805,10-14 ára,36,1471
2023,805,55-59 ára,44,1471
2023,805,50-54 ára,46,1471
2024,805,0-4 ára,44,1471
2024,805,65-69 ára,25,1477
2023,805,55-59 ára,34,1477
2023,805,0-4 ára,39,1471
2023,805,30-34 ára,54,1477
2023,805,70-74 ára,33,1477
2023,805,5-9 ára,36,1471
2023,805,15-19 ára,40,1471
2023,805,70-74 ára,28,1471
2024,805,45-49 ára,55,1471
2023,805,80-84 ára,17,1471
2024,805,0-4 ára,36,1477
2023,805,5-9 ára,39,1477
2024,805,5-9 ára,28,1471
2024,805,80-84 ára,10,1477
2024,805,30-34 ára,45,1471
2024,805,80-84 ára,21,1471
2024,805,45-49 ára,52,1477
2023,805,35-39 ára,46,1477
2023,805,30-34 ára,42,1471
2023,805,45-49 ára,47,1471
2023,805,65-69 ára,39,1471
2024,805,15-19 ára,48,1477
2024,805,35-39 ára,50,1477
2024,805,20-24 ára,68,1477
2024,805,75-79 ára,20,1471
2024,805,90 ára og eldri,4,1471
2023,805,90 ára og eldri,4,1477
2024,805,65-69 ára,42,1471
2023,805,40-44 ára,52,1477
2023,805,10-14 ára,35,1477
2024,805,40-44 ára,53,1471
2023,805,65-69 ára,29,1477
2023,805,20-24 ára,43,1471
2024,805,75-79 ára,17,1477
2023,805,15-19 ára,51,1477
2023,805,50-54 ára,54,1477
2024,805,25-29 ára,72,1477
2023,805,60-64 ára,39,1477
2024,805,5-9 ára,35,1477
2024,805,15-19 ára,41,1471
2023,805,40-44 ára,54,1471
2024,805,10-14 ára,44,1471
2024,805,50-54 ára,56,1471
2023,805,75-79 ára,29,1471
2023,805,20-24 ára,62,1477
2024,805,35-39 ára,48,1471
2023,806,40-44 ára,90,2326
2024,806,85-89 ára,13,2059
2024,806,50-54 ára,67,2326
2024,806,0-4 ára,46,2326
2023,806,25-29 ára,91,2059
2024,806,60-64 ára,60,2059
2024,806,25-29 ára,91,2059
2024,806,70-74 ára,54,2326
2023,806,5-9 ára,44,2326
2023,806,55-59 ára,77,2059
2024,806,10-14 ára,55,2059
2024,806,20-24 ára,79,2059
2023,806,20-24 ára,108,2326
2024,806,35-39 ára,91,2326
2023,806,65-69 ára,53,2059
2023,806,45-49 ára,67,2326
2023,806,5-9 ára,52,2059
2024,806,0-4 ára,46,2059
2023,806,30-34 ára,121,2326
2024,806,40-44 ára,75,2326
2024,806,20-24 ára,87,2326
2024,806,85-89 ára,9,2326
2024,806,90 ára og eldri,4,2326
2024,806,80-84 ára,35,2059
2024,806,30-34 ára,66,2059
2024,806,80-84 ára,39,2326
2023,806,60-64 ára,55,2059
2023,806,60-64 ára,67,2326
2024,806,15-19 ára,54,2326
2023,806,70-74 ára,52,2059
2024,806,70-74 ára,49,2059
2024,806,75-79 ára,40,2326
2023,806,45-49 ára,57,2059
2023,806,90 ára og eldri,2,2326
2023,806,25-29 ára,106,2326
2024,806,40-44 ára,64,2059
2023,806,0-4 ára,54,2059
2023,806,65-69 ára,50,2326
2024,806,10-14 ára,57,2326
2023,806,50-54 ára,72,2326
2023,806,90 ára og eldri,6,2059
2023,806,75-79 ára,39,2326
2023,806,85-89 ára,13,2059
2024,806,45-49 ára,57,2059
2023,806,50-54 ára,54,2059
2024,806,50-54 ára,55,2059
2023,806,10-14 ára,53,2059
2023,806,15-19 ára,45,2059
2023,806,40-44 ára,62,2059
2023,806,75-79 ára,50,2059
2024,806,5-9 ára,37,2326
2024,806,45-49 ára,71,2326
2023,806,20-24 ára,81,2059
2024,806,15-19 ára,52,2059
2024,806,55-59 ára,75,2326
2024,806,25-29 ára,107,2326
2024,806,55-59 ára,72,2059
2023,806,10-14 ára,45,2326
2023,806,80-84 ára,38,2326
2023,806,15-19 ára,68,2326
2023,806,55-59 ára,78,2326
2023,806,70-74 ára,55,2326
2023,806,85-89 ára,9,2326
2023,806,35-39 ára,67,2059
2024,806,90 ára og eldri,7,2059
2023,806,0-4 ára,44,2326
2024,806,65-69 ára,44,2326
2023,806,35-39 ára,91,2326
2023,806,30-34 ára,73,2059
2024,806,60-64 ára,66,2326
